epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,6088.82,1.09527,0.53965,0.86692,0.82657,0.6075,0.694,0.42901,1.1111,0.53955,0.876,0.0006338,0.0006338,0.0006338
71,6170.94,1.08957,0.53488,0.86392,0.82512,0.60767,0.69479,0.42899,1.11394,0.53906,0.87701,0.000614,0.000614,0.000614
72,6254.34,1.09352,0.53645,0.86438,0.8228,0.60734,0.69273,0.42886,1.10942,0.53874,0.87599,0.0005942,0.0005942,0.0005942
73,6337.31,1.08696,0.53453,0.86611,0.81858,0.61229,0.69591,0.4302,1.11036,0.5368,0.87601,0.0005744,0.0005744,0.0005744
74,6420.1,1.08397,0.53377,0.86504,0.82159,0.61038,0.69529,0.4299,1.10996,0.53395,0.87554,0.0005546,0.0005546,0.0005546
75,6503.9,1.08318,0.5292,0.86418,0.82418,0.60996,0.69664,0.43081,1.11022,0.53453,0.87561,0.0005348,0.0005348,0.0005348
76,6590.93,1.08911,0.53368,0.86462,0.82423,0.6124,0.69778,0.43193,1.10654,0.53534,0.87585,0.000515,0.000515,0.000515
77,6676.29,1.07984,0.52825,0.8643,0.82546,0.61034,0.69661,0.43151,1.10803,0.53424,0.8756,0.0004952,0.0004952,0.0004952
78,6759.15,1.07409,0.52437,0.86067,0.82851,0.61111,0.69778,0.43115,1.1103,0.53396,0.87704,0.0004754,0.0004754,0.0004754
79,6842.98,1.07434,0.52337,0.86294,0.82371,0.61314,0.69819,0.43228,1.1084,0.53316,0.87686,0.0004556,0.0004556,0.0004556
80,6926.08,1.06485,0.51963,0.86142,0.82281,0.61445,0.69797,0.43205,1.10962,0.53352,0.87668,0.0004358,0.0004358,0.0004358
81,7009.08,1.06605,0.52031,0.86057,0.82579,0.61344,0.69852,0.43247,1.11009,0.53407,0.87639,0.000416,0.000416,0.000416
82,7091.83,1.0679,0.51876,0.86152,0.82452,0.61337,0.69821,0.43193,1.11036,0.53218,0.87653,0.0003962,0.0003962,0.0003962
83,7174.16,1.0603,0.51569,0.8593,0.82678,0.61206,0.69924,0.43277,1.10983,0.53242,0.87714,0.0003764,0.0003764,0.0003764
84,7256.4,1.05941,0.51424,0.86134,0.82499,0.61382,0.69863,0.43297,1.10551,0.53107,0.87593,0.0003566,0.0003566,0.0003566
85,7338.75,1.05803,0.51256,0.85891,0.82328,0.61462,0.69917,0.43278,1.10572,0.53161,0.87589,0.0003368,0.0003368,0.0003368
86,7420.92,1.05441,0.51084,0.85865,0.82505,0.61291,0.699,0.43333,1.10612,0.53072,0.87631,0.000317,0.000317,0.000317
87,7504.15,1.05317,0.50854,0.85822,0.82737,0.61447,0.70024,0.4338,1.10708,0.52992,0.87656,0.0002972,0.0002972,0.0002972
88,7588.34,1.0515,0.50776,0.85841,0.82555,0.6145,0.70026,0.43381,1.107,0.53028,0.87689,0.0002774,0.0002774,0.0002774
89,7670.87,1.04935,0.50679,0.85689,0.82597,0.61447,0.70116,0.43478,1.1064,0.52831,0.87648,0.0002576,0.0002576,0.0002576
90,7753.33,1.04464,0.50265,0.85716,0.82465,0.61555,0.7018,0.43527,1.10481,0.52904,0.87632,0.0002378,0.0002378,0.0002378
91,7837.24,1.04485,0.50393,0.86048,0.82695,0.61269,0.69823,0.43216,1.11096,0.53218,0.87832,0.000218,0.000218,0.000218
92,7917.16,1.03245,0.49293,0.85773,0.8251,0.61232,0.69747,0.43218,1.11032,0.53296,0.87782,0.0001982,0.0001982,0.0001982
93,7997.16,1.03036,0.49208,0.85818,0.8254,0.61255,0.69925,0.43234,1.11082,0.53312,0.8779,0.0001784,0.0001784,0.0001784
94,8077.46,1.02624,0.48903,0.85719,0.82926,0.61144,0.69978,0.43329,1.11099,0.53255,0.87796,0.0001586,0.0001586,0.0001586
95,8157.01,1.02278,0.48587,0.85386,0.82899,0.61096,0.69971,0.43335,1.11085,0.53322,0.8778,0.0001388,0.0001388,0.0001388
96,8237.34,1.01679,0.48268,0.85386,0.82892,0.61273,0.69979,0.43362,1.10986,0.53232,0.87792,0.000119,0.000119,0.000119
97,8317.38,1.01574,0.48304,0.85469,0.8287,0.61317,0.69985,0.43373,1.11007,0.53189,0.87802,9.92e-05,9.92e-05,9.92e-05
98,8396.67,1.01263,0.48009,0.85497,0.82882,0.61172,0.69946,0.4337,1.11085,0.53235,0.87806,7.94e-05,7.94e-05,7.94e-05
99,8477.85,1.01153,0.47985,0.8527,0.82716,0.6137,0.70052,0.4341,1.10982,0.53211,0.87759,5.96e-05,5.96e-05,5.96e-05
100,8558.09,1.00671,0.47743,0.85169,0.82837,0.61306,0.7005,0.43401,1.10985,0.53155,0.87769,3.98e-05,3.98e-05,3.98e-05
